"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"bundesarbeitsgericht.de","bundesarbeitsgericht.de","http://www.bundesarbeitsgericht.de","","Bundesarbeitsgericht","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"bundesarbeitsministerium.de","bundesarbeitsministerium.de","http://bundesarbeitsministerium.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bundesarchiv.de","bundesarchiv.de","http://bundesarchiv.de","","Bundesarchiv","","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"bundesausgleichsamt.de","bundesausgleichsamt.de","http://bundesausgleichsamt.de","","Bundesausgleichsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bundesbank.de","bundesbank.de","https://www.bundesbank.de","","Deutsche Bundesbank","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesbauminister.com","bundesbauminister.com","http://bundesbauminister.com","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauminister.de","bundesbauminister.de","http://bundesbauminister.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauminister.net","bundesbauminister.net","http://bundesbauminister.net","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauminister.org","bundesbauminister.org","http://bundesbauminister.org","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauministerium.com","bundesbauministerium.com","http://bundesbauministerium.com","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauministerium.de","bundesbauministerium.de","http://bundesbauministerium.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauministerium.net","bundesbauministerium.net","http://bundesbauministerium.net","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesbauministerium.org","bundesbauministerium.org","http://bundesbauministerium.org","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesfinanzhof.de","bundesfinanzhof.de","https://www.bundesfinanzhof.de","","Bundesfinanzhof","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesfinanzministerium.de","bundesfinanzministerium.de","https://www.bundesfinanzministerium.de","","Bundesministerium der Finanzen","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesgerichtshof.de","bundesgerichtshof.de","http://www.bundesgerichtshof.de","","Bundesgerichtshof","","No","dotgov","No","No","No","","","","","","No"
"bundeshaus.de","bundeshaus.de","http://bundeshaus.de","","Bundestag","","Yes","dotgov","No","No","No","","","","","","No"
"bundeshaushalt-info.de","bundeshaushalt-info.de","http://bundeshaushalt-info.de","","Bundesministerium der Finanzen","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesimmobilien.de","bundesimmobilien.de","https://www.bundesimmobilien.de","","Bundesanstalt für Immobilienaufgaben","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bundesinfrastrukturministerium.de","bundesinfrastrukturministerium.de","http://bundesinfrastrukturministerium.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesjustizamt.de","bundesjustizamt.de","https://www.bundesjustizamt.de","","Bundesamt für Justiz","","No","dotgov","No","Yes","No","","","","","","No"
"bundeskanzleramt.de","bundeskanzleramt.de","http://bundeskanzleramt.de","","Bundeskanzleramt","","Yes","dotgov","No","No","No","","","","","","No"
"bundeskanzlerin.de","bundeskanzlerin.de","https://www.bundeskanzlerin.de","","Bundeskanzlerin","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundeskartellamt.de","bundeskartellamt.de","https://www.bundeskartellamt.de","","Bundeskartellamt","","No","dotgov","No","Yes","No","","","","","","No"
"bundeskriminalamt.de","bundeskriminalamt.de","http://bundeskriminalamt.de","","Bundeskriminalamt","","Yes","dotgov","No","No","No","","","","","","No"
