"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"altentreptow.de","altentreptow.de","http://www.altentreptow.de","","Breesen","MV","No","dotgov","No","No","No","","","","","","No"
"alterkuelz.de","alterkuelz.de","http://alterkuelz.de","","Alterkülz","RP","No","dotgov","No","No","No","","","","","","No"
"altersbach.net","altersbach.net","http://altersbach.net","","Altersbach","TH","No","dotgov","No","No","No","","","","","","No"
"altertheim.de","altertheim.de","http://www.altertheim.de","","Altertheim","BY","No","dotgov","No","No","No","","","","","","No"
"althegnenberg.de","althegnenberg.de","https://www.althegnenberg.de","","Althegnenberg","BY","No","dotgov","No","No","No","","","","","","No"
"altheim-alb.de","altheim-alb.de","https://www.altheim-alb.de","","Altheim (Alb)","BW","No","dotgov","No","Yes","No","","","","","","No"
"altheim-info.de","altheim-info.de","https://www.altheim-info.de","","Altheim","BW","No","dotgov","No","No","No","","","","","","No"
"althengstett.de","althengstett.de","https://www.althengstett.de","","Althengstett","BW","No","dotgov","No","Yes","No","","","","","","No"
"althuette.de","althuette.de","http://althuette.de","","Althütte","BW","No","dotgov","No","No","No","","","","","","No"
"altlandsberg.de","altlandsberg.de","http://www.altlandsberg.de","","Altlandsberg","BB","No","dotgov","No","No","No","","","","","","No"
"altlay.de","altlay.de","http://altlay.de","","Altlay","RP","No","dotgov","No","No","No","","","","","","No"
"altlussheim.de","altlussheim.de","http://www.altlussheim.de","","Altlußheim","BW","No","dotgov","No","No","No","","","","","","No"
"altmannstein.de","altmannstein.de","http://www.altmannstein.de","","Altmannstein","BY","No","dotgov","No","No","No","","","","","","No"
"altmuehlnet.de","altmuehlnet.de","https://www.altmuehlnet.de","","Adelschlag","BY","No","dotgov","No","Yes","No","","","","","","No"
"altoetting.de","altoetting.de","http://altoetting.de","","Altötting","BY","No","dotgov","No","No","No","","","","","","No"
"altomuenster.de","altomuenster.de","http://altomuenster.de","","Altomünster","BY","No","dotgov","No","No","No","","","","","","No"
"altrich.de","altrich.de","https://www.altrich.de","","Altrich","RP","No","dotgov","No","Yes","No","","","","","","No"
"altrip.de","altrip.de","http://altrip.de","","Altrip","RP","Yes","dotgov","No","No","No","","","","","","No"
"altshausen.de","altshausen.de","https://www.altshausen.de","","Altshausen","BW","No","dotgov","No","Yes","No","","","","","","No"
"altusried.de","altusried.de","https://www.altusried.de","","Altusried","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"altweidelbach.de","altweidelbach.de","http://altweidelbach.de","","Altweidelbach","RP","No","dotgov","No","No","No","","","","","","No"
"altwigshagen.de","altwigshagen.de","http://altwigshagen.de","","Altwigshagen","MV","No","dotgov","No","No","No","","","","","","No"
"alveslohe.eu","alveslohe.eu","https://alveslohe.eu","","Alveslohe","SH","No","dotgov","No","Yes","No","","","","","","No"
"alzenau.de","alzenau.de","https://alzenau.de","","Alzenau","BY","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alzey-land.de","alzey-land.de","https://www.alzey-land.de","","Kettenheim","RP","No","dotgov","No","Yes","No","","","","","","No"
"alzey.de","alzey.de","https://alzey.de","","Alzey","RP","No","dotgov","No","Yes","No","","","","","","No"
"am-dobrock.de","am-dobrock.de","http://am-dobrock.de","","Cadenberge","NI","Yes","dotgov","No","No","No","","","","","","No"
"amberg.de","amberg.de","http://amberg.de","","Amberg","BY","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"amelinghausen.de","amelinghausen.de","http://amelinghausen.de","","Rehlingen","NI","Yes","dotgov","No","No","No","","","","","","No"
"amerang.de","amerang.de","https://amerang.de","","Amerang","BY","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"amerdingen.de","amerdingen.de","http://amerdingen.de","","Amerdingen","BY","Yes","dotgov","No","No","No","","","","","","No"
"ammerbuch.de","ammerbuch.de","https://www.ammerbuch.de","","Ammerbuch","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ammerndorf.de","ammerndorf.de","http://ammerndorf.de","","Ammerndorf","BY","No","dotgov","No","No","No","","","","","","No"
"ammersbek.de","ammersbek.de","https://ammersbek.de","","Ammersbek","SH","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
