Domain Name,Domain Type,Agency,City,State
isyfact-standards.de,Federal Agency,Bundesverwaltungsamt,,
itzbund.de,Federal Agency,Informationstechnikzentrum Bund,,
iud.bundeswehr.de,Federal Agency,"Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr",,
jki.bund.de,Federal Agency,"Julius-Kühn Institut, Bundesforschungsinstitut für Kulturpflanzen",,
job3punkt0.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
job3punktnull.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jobcenterreform.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jobcenterservice.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jobcentersuche.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
job-drei-null.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jobdreipunktnull.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jobsohnebarrieren.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
jugendinarbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
kba.de,Federal Agency,Kraftfahrt-Bundesamt,,
kfw-foerderbank.de,Federal Agency,KfW-Kommunalbank,,
kkr.bund.de,Federal Agency,Kompetenzzentrum für das Kassen- und Rechnungswesen des Bundes,,
klimadaten.eu,Federal Agency,Deutscher Wetterdienst,,
klimadeutschland.de,Federal Agency,Deutscher Wetterdienst,,
klimagutachten.eu,Federal Agency,Deutscher Wetterdienst,,
klimamonitoring.de,Federal Agency,Deutscher Wetterdienst,,
klimaservices.de,Federal Agency,Deutscher Wetterdienst,,
klimaueberwachung.de,Federal Agency,Deutscher Wetterdienst,,
klimaueberwachung.eu,Federal Agency,Deutscher Wetterdienst,,
kliwas.de,Federal Agency,Deutscher Wetterdienst,,
kulturstaatsminister.de,Federal Agency,Die Beauftragte der Bundesregierung für Kultur und Medien,,
lba.de,Federal Agency,Luftfahrt-Bundesamt,,
lebenslagen-in-deutschland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
leitfadeninklusion.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
lohntarifpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mad.bundeswehr.de,Federal Agency,Amt für den Militärischen Abschirmdienst,,
m.budget.bmas.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
medizinwetter.eu,Federal Agency,Deutscher Wetterdienst,,
meincomeback.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-comeback.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
m.einfachteilhaben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmicrocredit.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmicrocredit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmicrocredit.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-microkredit.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmicrokredit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-microkredit.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmicrokredit.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmikrocredit.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmikrocredit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmikrocredit.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-mikrokredit.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
meinmikrokredit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-mikrokredit.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mein-mikrokredit.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
met4aviation.com,Federal Agency,Deutscher Wetterdienst,,
met4aviation.de,Federal Agency,Deutscher Wetterdienst,,
